update,global_transitions,rollout_reward_mean,pg_loss,v_loss,entropy,approx_kl,param_delta,elapsed_s
1,200,52.15418243408203,0.11264119297266006,8.88184928894043,2.834953784942627,0.016552887856960297,1.0913786888122559,31.76147412415594
2,400,52.1098747253418,-0.01597486436367035,36.37998580932617,2.833482503890991,0.0059278905391693115,0.8783637285232544,58.89813780318946
3,600,52.0426025390625,0.1050737202167511,11.021808624267578,2.830533027648926,0.00722116231918335,0.6736354827880859,89.2607656372711
4,800,52.36761474609375,0.04428793489933014,8.159721374511719,2.8262131214141846,0.009316347539424896,0.592932939529419,120.25620374828577
5,1000,52.10327911376953,0.14750902354717255,1.9721258878707886,2.823821544647217,0.014939531683921814,0.4742930829524994,150.91088469326496
